이름,전화번호,메모1,메모2,메모3,메모4,메모5
대한민국은 민주공화국이다. 국가는 농지에 관하여 경자유전의 원칙이 달성될 수 있도록 노력하,010-7777-888,"대통령의 선거에 관한 사항은 법률로 정한다. 모든 국민은 직업선택의 자유를 가진다. 대통령은 법률에서 구체적으로 범위를 정하여 위임받은 사항과 법률을 집행하기 위하여 필요한 사항에 관하여 대통령령을 발할 수 있다. 국무위원은 국정에 관하여 대통령을 보좌하며, 국무회의의 구성원으로서 국정을 심의한다. 대법원장은 국회의 동의를 얻어 대통령이 임명한다. 국회에서","대통령의 선거에 관한 사항은 법률로 정한다. 모든 국민은 직업선택의 자유를 가진다. 대통령은 법률에서 구체적으로 범위를 정하여 위임받은 사항과 법률을 집행하기 위하여 필요한 사항에 관하여 대통령령을 발할 수 있다. 국무위원은 국정에 관하여 대통령을 보좌하며, 국무회의의 구성원으로서 국정을 심의한다. 대법원장은 국회의 동의를 얻어 대통령이 임명한다. 국회에서","대통령의 선거에 관한 사항은 법률로 정한다. 모든 국민은 직업선택의 자유를 가진다. 대통령은 법률에서 구체적으로 범위를 정하여 위임받은 사항과 법률을 집행하기 위하여 필요한 사항에 관하여 대통령령을 발할 수 있다. 국무위원은 국정에 관하여 대통령을 보좌하며, 국무회의의 구성원으로서 국정을 심의한다. 대법원장은 국회의 동의를 얻어 대통령이 임명한다. 국회에서","대통령의 선거에 관한 사항은 법률로 정한다. 모든 국민은 직업선택의 자유를 가진다. 대통령은 법률에서 구체적으로 범위를 정하여 위임받은 사항과 법률을 집행하기 위하여 필요한 사항에 관하여 대통령령을 발할 수 있다. 국무위원은 국정에 관하여 대통령을 보좌하며, 국무회의의 구성원으로서 국정을 심의한다. 대법원장은 국회의 동의를 얻어 대통령이 임명한다. 국회에서","대통령의 선거에 관한 사항은 법률로 정한다. 모든 국민은 직업선택의 자유를 가진다. 대통령은 법률에서 구체적으로 범위를 정하여 위임받은 사항과 법률을 집행하기 위하여 필요한 사항에 관하여 대통령령을 발할 수 있다. 국무위원은 국정에 관하여 대통령을 보좌하며, 국무회의의 구성원으로서 국정을 심의한다. 대법원장은 국회의 동의를 얻어 대통령이 임명한다. 국회에서"
대한민국은 민주공화국이다. 국가는 농지에 관하여 경자유전의 원칙이 달성될 수 있도록 노력하,010-7777-888,"대통령의 선거에 관한 사항은 법률로 정한다. 모든 국민은 직업선택의 자유를 가진다. 대통령은 법률에서 구체적으로 범위를 정하여 위임받은 사항과 법률을 집행하기 위하여 필요한 사항에 관하여 대통령령을 발할 수 있다. 국무위원은 국정에 관하여 대통령을 보좌하며, 국무회의의 구성원으로서 국정을 심의한다. 대법원장은 국회의 동의를 얻어 대통령이 임명한다. 국회에서","대통령의 선거에 관한 사항은 법률로 정한다. 모든 국민은 직업선택의 자유를 가진다. 대통령은 법률에서 구체적으로 범위를 정하여 위임받은 사항과 법률을 집행하기 위하여 필요한 사항에 관하여 대통령령을 발할 수 있다. 국무위원은 국정에 관하여 대통령을 보좌하며, 국무회의의 구성원으로서 국정을 심의한다. 대법원장은 국회의 동의를 얻어 대통령이 임명한다. 국회에서","대통령의 선거에 관한 사항은 법률로 정한다. 모든 국민은 직업선택의 자유를 가진다. 대통령은 법률에서 구체적으로 범위를 정하여 위임받은 사항과 법률을 집행하기 위하여 필요한 사항에 관하여 대통령령을 발할 수 있다. 국무위원은 국정에 관하여 대통령을 보좌하며, 국무회의의 구성원으로서 국정을 심의한다. 대법원장은 국회의 동의를 얻어 대통령이 임명한다. 국회에서","대통령의 선거에 관한 사항은 법률로 정한다. 모든 국민은 직업선택의 자유를 가진다. 대통령은 법률에서 구체적으로 범위를 정하여 위임받은 사항과 법률을 집행하기 위하여 필요한 사항에 관하여 대통령령을 발할 수 있다. 국무위원은 국정에 관하여 대통령을 보좌하며, 국무회의의 구성원으로서 국정을 심의한다. 대법원장은 국회의 동의를 얻어 대통령이 임명한다. 국회에서","대통령의 선거에 관한 사항은 법률로 정한다. 모든 국민은 직업선택의 자유를 가진다. 대통령은 법률에서 구체적으로 범위를 정하여 위임받은 사항과 법률을 집행하기 위하여 필요한 사항에 관하여 대통령령을 발할 수 있다. 국무위원은 국정에 관하여 대통령을 보좌하며, 국무회의의 구성원으로서 국정을 심의한다. 대법원장은 국회의 동의를 얻어 대통령이 임명한다. 국회에서"
대한민국은 민주공화국이다. 국가는 농지에 관하여 경자유전의 원칙이 달성될 수 있도록 노력하,010-7777-888,"대통령의 선거에 관한 사항은 법률로 정한다. 모든 국민은 직업선택의 자유를 가진다. 대통령은 법률에서 구체적으로 범위를 정하여 위임받은 사항과 법률을 집행하기 위하여 필요한 사항에 관하여 대통령령을 발할 수 있다. 국무위원은 국정에 관하여 대통령을 보좌하며, 국무회의의 구성원으로서 국정을 심의한다. 대법원장은 국회의 동의를 얻어 대통령이 임명한다. 국회에서","대통령의 선거에 관한 사항은 법률로 정한다. 모든 국민은 직업선택의 자유를 가진다. 대통령은 법률에서 구체적으로 범위를 정하여 위임받은 사항과 법률을 집행하기 위하여 필요한 사항에 관하여 대통령령을 발할 수 있다. 국무위원은 국정에 관하여 대통령을 보좌하며, 국무회의의 구성원으로서 국정을 심의한다. 대법원장은 국회의 동의를 얻어 대통령이 임명한다. 국회에서","대통령의 선거에 관한 사항은 법률로 정한다. 모든 국민은 직업선택의 자유를 가진다. 대통령은 법률에서 구체적으로 범위를 정하여 위임받은 사항과 법률을 집행하기 위하여 필요한 사항에 관하여 대통령령을 발할 수 있다. 국무위원은 국정에 관하여 대통령을 보좌하며, 국무회의의 구성원으로서 국정을 심의한다. 대법원장은 국회의 동의를 얻어 대통령이 임명한다. 국회에서","대통령의 선거에 관한 사항은 법률로 정한다. 모든 국민은 직업선택의 자유를 가진다. 대통령은 법률에서 구체적으로 범위를 정하여 위임받은 사항과 법률을 집행하기 위하여 필요한 사항에 관하여 대통령령을 발할 수 있다. 국무위원은 국정에 관하여 대통령을 보좌하며, 국무회의의 구성원으로서 국정을 심의한다. 대법원장은 국회의 동의를 얻어 대통령이 임명한다. 국회에서","대통령의 선거에 관한 사항은 법률로 정한다. 모든 국민은 직업선택의 자유를 가진다. 대통령은 법률에서 구체적으로 범위를 정하여 위임받은 사항과 법률을 집행하기 위하여 필요한 사항에 관하여 대통령령을 발할 수 있다. 국무위원은 국정에 관하여 대통령을 보좌하며, 국무회의의 구성원으로서 국정을 심의한다. 대법원장은 국회의 동의를 얻어 대통령이 임명한다. 국회에서"
대한민국은 민주공화국이다. 국가는 농지에 관하여 경자유전의 원칙이 달성될 수 있도록 노력하,010-7777-888,"대통령의 선거에 관한 사항은 법률로 정한다. 모든 국민은 직업선택의 자유를 가진다. 대통령은 법률에서 구체적으로 범위를 정하여 위임받은 사항과 법률을 집행하기 위하여 필요한 사항에 관하여 대통령령을 발할 수 있다. 국무위원은 국정에 관하여 대통령을 보좌하며, 국무회의의 구성원으로서 국정을 심의한다. 대법원장은 국회의 동의를 얻어 대통령이 임명한다. 국회에서","대통령의 선거에 관한 사항은 법률로 정한다. 모든 국민은 직업선택의 자유를 가진다. 대통령은 법률에서 구체적으로 범위를 정하여 위임받은 사항과 법률을 집행하기 위하여 필요한 사항에 관하여 대통령령을 발할 수 있다. 국무위원은 국정에 관하여 대통령을 보좌하며, 국무회의의 구성원으로서 국정을 심의한다. 대법원장은 국회의 동의를 얻어 대통령이 임명한다. 국회에서","대통령의 선거에 관한 사항은 법률로 정한다. 모든 국민은 직업선택의 자유를 가진다. 대통령은 법률에서 구체적으로 범위를 정하여 위임받은 사항과 법률을 집행하기 위하여 필요한 사항에 관하여 대통령령을 발할 수 있다. 국무위원은 국정에 관하여 대통령을 보좌하며, 국무회의의 구성원으로서 국정을 심의한다. 대법원장은 국회의 동의를 얻어 대통령이 임명한다. 국회에서","대통령의 선거에 관한 사항은 법률로 정한다. 모든 국민은 직업선택의 자유를 가진다. 대통령은 법률에서 구체적으로 범위를 정하여 위임받은 사항과 법률을 집행하기 위하여 필요한 사항에 관하여 대통령령을 발할 수 있다. 국무위원은 국정에 관하여 대통령을 보좌하며, 국무회의의 구성원으로서 국정을 심의한다. 대법원장은 국회의 동의를 얻어 대통령이 임명한다. 국회에서","대통령의 선거에 관한 사항은 법률로 정한다. 모든 국민은 직업선택의 자유를 가진다. 대통령은 법률에서 구체적으로 범위를 정하여 위임받은 사항과 법률을 집행하기 위하여 필요한 사항에 관하여 대통령령을 발할 수 있다. 국무위원은 국정에 관하여 대통령을 보좌하며, 국무회의의 구성원으로서 국정을 심의한다. 대법원장은 국회의 동의를 얻어 대통령이 임명한다. 국회에서"
대한민국은 민주공화국이다. 국가는 농지에 관하여 경자유전의 원칙이 달성될 수 있도록 노력하,010-7777-888,"대통령의 선거에 관한 사항은 법률로 정한다. 모든 국민은 직업선택의 자유를 가진다. 대통령은 법률에서 구체적으로 범위를 정하여 위임받은 사항과 법률을 집행하기 위하여 필요한 사항에 관하여 대통령령을 발할 수 있다. 국무위원은 국정에 관하여 대통령을 보좌하며, 국무회의의 구성원으로서 국정을 심의한다. 대법원장은 국회의 동의를 얻어 대통령이 임명한다. 국회에서","대통령의 선거에 관한 사항은 법률로 정한다. 모든 국민은 직업선택의 자유를 가진다. 대통령은 법률에서 구체적으로 범위를 정하여 위임받은 사항과 법률을 집행하기 위하여 필요한 사항에 관하여 대통령령을 발할 수 있다. 국무위원은 국정에 관하여 대통령을 보좌하며, 국무회의의 구성원으로서 국정을 심의한다. 대법원장은 국회의 동의를 얻어 대통령이 임명한다. 국회에서","대통령의 선거에 관한 사항은 법률로 정한다. 모든 국민은 직업선택의 자유를 가진다. 대통령은 법률에서 구체적으로 범위를 정하여 위임받은 사항과 법률을 집행하기 위하여 필요한 사항에 관하여 대통령령을 발할 수 있다. 국무위원은 국정에 관하여 대통령을 보좌하며, 국무회의의 구성원으로서 국정을 심의한다. 대법원장은 국회의 동의를 얻어 대통령이 임명한다. 국회에서","대통령의 선거에 관한 사항은 법률로 정한다. 모든 국민은 직업선택의 자유를 가진다. 대통령은 법률에서 구체적으로 범위를 정하여 위임받은 사항과 법률을 집행하기 위하여 필요한 사항에 관하여 대통령령을 발할 수 있다. 국무위원은 국정에 관하여 대통령을 보좌하며, 국무회의의 구성원으로서 국정을 심의한다. 대법원장은 국회의 동의를 얻어 대통령이 임명한다. 국회에서","대통령의 선거에 관한 사항은 법률로 정한다. 모든 국민은 직업선택의 자유를 가진다. 대통령은 법률에서 구체적으로 범위를 정하여 위임받은 사항과 법률을 집행하기 위하여 필요한 사항에 관하여 대통령령을 발할 수 있다. 국무위원은 국정에 관하여 대통령을 보좌하며, 국무회의의 구성원으로서 국정을 심의한다. 대법원장은 국회의 동의를 얻어 대통령이 임명한다. 국회에서"
대한민국은 민주공화국이다. 국가는 농지에 관하여 경자유전의 원칙이 달성될 수 있도록 노력하,010-7777-888,"대통령의 선거에 관한 사항은 법률로 정한다. 모든 국민은 직업선택의 자유를 가진다. 대통령은 법률에서 구체적으로 범위를 정하여 위임받은 사항과 법률을 집행하기 위하여 필요한 사항에 관하여 대통령령을 발할 수 있다. 국무위원은 국정에 관하여 대통령을 보좌하며, 국무회의의 구성원으로서 국정을 심의한다. 대법원장은 국회의 동의를 얻어 대통령이 임명한다. 국회에서","대통령의 선거에 관한 사항은 법률로 정한다. 모든 국민은 직업선택의 자유를 가진다. 대통령은 법률에서 구체적으로 범위를 정하여 위임받은 사항과 법률을 집행하기 위하여 필요한 사항에 관하여 대통령령을 발할 수 있다. 국무위원은 국정에 관하여 대통령을 보좌하며, 국무회의의 구성원으로서 국정을 심의한다. 대법원장은 국회의 동의를 얻어 대통령이 임명한다. 국회에서","대통령의 선거에 관한 사항은 법률로 정한다. 모든 국민은 직업선택의 자유를 가진다. 대통령은 법률에서 구체적으로 범위를 정하여 위임받은 사항과 법률을 집행하기 위하여 필요한 사항에 관하여 대통령령을 발할 수 있다. 국무위원은 국정에 관하여 대통령을 보좌하며, 국무회의의 구성원으로서 국정을 심의한다. 대법원장은 국회의 동의를 얻어 대통령이 임명한다. 국회에서","대통령의 선거에 관한 사항은 법률로 정한다. 모든 국민은 직업선택의 자유를 가진다. 대통령은 법률에서 구체적으로 범위를 정하여 위임받은 사항과 법률을 집행하기 위하여 필요한 사항에 관하여 대통령령을 발할 수 있다. 국무위원은 국정에 관하여 대통령을 보좌하며, 국무회의의 구성원으로서 국정을 심의한다. 대법원장은 국회의 동의를 얻어 대통령이 임명한다. 국회에서","대통령의 선거에 관한 사항은 법률로 정한다. 모든 국민은 직업선택의 자유를 가진다. 대통령은 법률에서 구체적으로 범위를 정하여 위임받은 사항과 법률을 집행하기 위하여 필요한 사항에 관하여 대통령령을 발할 수 있다. 국무위원은 국정에 관하여 대통령을 보좌하며, 국무회의의 구성원으로서 국정을 심의한다. 대법원장은 국회의 동의를 얻어 대통령이 임명한다. 국회에서"
대한민국은 민주공화국이다. 국가는 농지에 관하여 경자유전의 원칙이 달성될 수 있도록 노력하,010-7777-888,"대통령의 선거에 관한 사항은 법률로 정한다. 모든 국민은 직업선택의 자유를 가진다. 대통령은 법률에서 구체적으로 범위를 정하여 위임받은 사항과 법률을 집행하기 위하여 필요한 사항에 관하여 대통령령을 발할 수 있다. 국무위원은 국정에 관하여 대통령을 보좌하며, 국무회의의 구성원으로서 국정을 심의한다. 대법원장은 국회의 동의를 얻어 대통령이 임명한다. 국회에서","대통령의 선거에 관한 사항은 법률로 정한다. 모든 국민은 직업선택의 자유를 가진다. 대통령은 법률에서 구체적으로 범위를 정하여 위임받은 사항과 법률을 집행하기 위하여 필요한 사항에 관하여 대통령령을 발할 수 있다. 국무위원은 국정에 관하여 대통령을 보좌하며, 국무회의의 구성원으로서 국정을 심의한다. 대법원장은 국회의 동의를 얻어 대통령이 임명한다. 국회에서","대통령의 선거에 관한 사항은 법률로 정한다. 모든 국민은 직업선택의 자유를 가진다. 대통령은 법률에서 구체적으로 범위를 정하여 위임받은 사항과 법률을 집행하기 위하여 필요한 사항에 관하여 대통령령을 발할 수 있다. 국무위원은 국정에 관하여 대통령을 보좌하며, 국무회의의 구성원으로서 국정을 심의한다. 대법원장은 국회의 동의를 얻어 대통령이 임명한다. 국회에서","대통령의 선거에 관한 사항은 법률로 정한다. 모든 국민은 직업선택의 자유를 가진다. 대통령은 법률에서 구체적으로 범위를 정하여 위임받은 사항과 법률을 집행하기 위하여 필요한 사항에 관하여 대통령령을 발할 수 있다. 국무위원은 국정에 관하여 대통령을 보좌하며, 국무회의의 구성원으로서 국정을 심의한다. 대법원장은 국회의 동의를 얻어 대통령이 임명한다. 국회에서","대통령의 선거에 관한 사항은 법률로 정한다. 모든 국민은 직업선택의 자유를 가진다. 대통령은 법률에서 구체적으로 범위를 정하여 위임받은 사항과 법률을 집행하기 위하여 필요한 사항에 관하여 대통령령을 발할 수 있다. 국무위원은 국정에 관하여 대통령을 보좌하며, 국무회의의 구성원으로서 국정을 심의한다. 대법원장은 국회의 동의를 얻어 대통령이 임명한다. 국회에서"
대한민국은 민주공화국이다. 국가는 농지에 관하여 경자유전의 원칙이 달성될 수 있도록 노력하,010-7777-888,"대통령의 선거에 관한 사항은 법률로 정한다. 모든 국민은 직업선택의 자유를 가진다. 대통령은 법률에서 구체적으로 범위를 정하여 위임받은 사항과 법률을 집행하기 위하여 필요한 사항에 관하여 대통령령을 발할 수 있다. 국무위원은 국정에 관하여 대통령을 보좌하며, 국무회의의 구성원으로서 국정을 심의한다. 대법원장은 국회의 동의를 얻어 대통령이 임명한다. 국회에서","대통령의 선거에 관한 사항은 법률로 정한다. 모든 국민은 직업선택의 자유를 가진다. 대통령은 법률에서 구체적으로 범위를 정하여 위임받은 사항과 법률을 집행하기 위하여 필요한 사항에 관하여 대통령령을 발할 수 있다. 국무위원은 국정에 관하여 대통령을 보좌하며, 국무회의의 구성원으로서 국정을 심의한다. 대법원장은 국회의 동의를 얻어 대통령이 임명한다. 국회에서","대통령의 선거에 관한 사항은 법률로 정한다. 모든 국민은 직업선택의 자유를 가진다. 대통령은 법률에서 구체적으로 범위를 정하여 위임받은 사항과 법률을 집행하기 위하여 필요한 사항에 관하여 대통령령을 발할 수 있다. 국무위원은 국정에 관하여 대통령을 보좌하며, 국무회의의 구성원으로서 국정을 심의한다. 대법원장은 국회의 동의를 얻어 대통령이 임명한다. 국회에서","대통령의 선거에 관한 사항은 법률로 정한다. 모든 국민은 직업선택의 자유를 가진다. 대통령은 법률에서 구체적으로 범위를 정하여 위임받은 사항과 법률을 집행하기 위하여 필요한 사항에 관하여 대통령령을 발할 수 있다. 국무위원은 국정에 관하여 대통령을 보좌하며, 국무회의의 구성원으로서 국정을 심의한다. 대법원장은 국회의 동의를 얻어 대통령이 임명한다. 국회에서","대통령의 선거에 관한 사항은 법률로 정한다. 모든 국민은 직업선택의 자유를 가진다. 대통령은 법률에서 구체적으로 범위를 정하여 위임받은 사항과 법률을 집행하기 위하여 필요한 사항에 관하여 대통령령을 발할 수 있다. 국무위원은 국정에 관하여 대통령을 보좌하며, 국무회의의 구성원으로서 국정을 심의한다. 대법원장은 국회의 동의를 얻어 대통령이 임명한다. 국회에서"
대한민국은 민주공화국이다. 국가는 농지에 관하여 경자유전의 원칙이 달성될 수 있도록 노력하,010-7777-888,"대통령의 선거에 관한 사항은 법률로 정한다. 모든 국민은 직업선택의 자유를 가진다. 대통령은 법률에서 구체적으로 범위를 정하여 위임받은 사항과 법률을 집행하기 위하여 필요한 사항에 관하여 대통령령을 발할 수 있다. 국무위원은 국정에 관하여 대통령을 보좌하며, 국무회의의 구성원으로서 국정을 심의한다. 대법원장은 국회의 동의를 얻어 대통령이 임명한다. 국회에서","대통령의 선거에 관한 사항은 법률로 정한다. 모든 국민은 직업선택의 자유를 가진다. 대통령은 법률에서 구체적으로 범위를 정하여 위임받은 사항과 법률을 집행하기 위하여 필요한 사항에 관하여 대통령령을 발할 수 있다. 국무위원은 국정에 관하여 대통령을 보좌하며, 국무회의의 구성원으로서 국정을 심의한다. 대법원장은 국회의 동의를 얻어 대통령이 임명한다. 국회에서","대통령의 선거에 관한 사항은 법률로 정한다. 모든 국민은 직업선택의 자유를 가진다. 대통령은 법률에서 구체적으로 범위를 정하여 위임받은 사항과 법률을 집행하기 위하여 필요한 사항에 관하여 대통령령을 발할 수 있다. 국무위원은 국정에 관하여 대통령을 보좌하며, 국무회의의 구성원으로서 국정을 심의한다. 대법원장은 국회의 동의를 얻어 대통령이 임명한다. 국회에서","대통령의 선거에 관한 사항은 법률로 정한다. 모든 국민은 직업선택의 자유를 가진다. 대통령은 법률에서 구체적으로 범위를 정하여 위임받은 사항과 법률을 집행하기 위하여 필요한 사항에 관하여 대통령령을 발할 수 있다. 국무위원은 국정에 관하여 대통령을 보좌하며, 국무회의의 구성원으로서 국정을 심의한다. 대법원장은 국회의 동의를 얻어 대통령이 임명한다. 국회에서","대통령의 선거에 관한 사항은 법률로 정한다. 모든 국민은 직업선택의 자유를 가진다. 대통령은 법률에서 구체적으로 범위를 정하여 위임받은 사항과 법률을 집행하기 위하여 필요한 사항에 관하여 대통령령을 발할 수 있다. 국무위원은 국정에 관하여 대통령을 보좌하며, 국무회의의 구성원으로서 국정을 심의한다. 대법원장은 국회의 동의를 얻어 대통령이 임명한다. 국회에서"
대한민국은 민주공화국이다. 국가는 농지에 관하여 경자유전의 원칙이 달성될 수 있도록 노력하,010-7777-888,"대통령의 선거에 관한 사항은 법률로 정한다. 모든 국민은 직업선택의 자유를 가진다. 대통령은 법률에서 구체적으로 범위를 정하여 위임받은 사항과 법률을 집행하기 위하여 필요한 사항에 관하여 대통령령을 발할 수 있다. 국무위원은 국정에 관하여 대통령을 보좌하며, 국무회의의 구성원으로서 국정을 심의한다. 대법원장은 국회의 동의를 얻어 대통령이 임명한다. 국회에서","대통령의 선거에 관한 사항은 법률로 정한다. 모든 국민은 직업선택의 자유를 가진다. 대통령은 법률에서 구체적으로 범위를 정하여 위임받은 사항과 법률을 집행하기 위하여 필요한 사항에 관하여 대통령령을 발할 수 있다. 국무위원은 국정에 관하여 대통령을 보좌하며, 국무회의의 구성원으로서 국정을 심의한다. 대법원장은 국회의 동의를 얻어 대통령이 임명한다. 국회에서","대통령의 선거에 관한 사항은 법률로 정한다. 모든 국민은 직업선택의 자유를 가진다. 대통령은 법률에서 구체적으로 범위를 정하여 위임받은 사항과 법률을 집행하기 위하여 필요한 사항에 관하여 대통령령을 발할 수 있다. 국무위원은 국정에 관하여 대통령을 보좌하며, 국무회의의 구성원으로서 국정을 심의한다. 대법원장은 국회의 동의를 얻어 대통령이 임명한다. 국회에서","대통령의 선거에 관한 사항은 법률로 정한다. 모든 국민은 직업선택의 자유를 가진다. 대통령은 법률에서 구체적으로 범위를 정하여 위임받은 사항과 법률을 집행하기 위하여 필요한 사항에 관하여 대통령령을 발할 수 있다. 국무위원은 국정에 관하여 대통령을 보좌하며, 국무회의의 구성원으로서 국정을 심의한다. 대법원장은 국회의 동의를 얻어 대통령이 임명한다. 국회에서","대통령의 선거에 관한 사항은 법률로 정한다. 모든 국민은 직업선택의 자유를 가진다. 대통령은 법률에서 구체적으로 범위를 정하여 위임받은 사항과 법률을 집행하기 위하여 필요한 사항에 관하여 대통령령을 발할 수 있다. 국무위원은 국정에 관하여 대통령을 보좌하며, 국무회의의 구성원으로서 국정을 심의한다. 대법원장은 국회의 동의를 얻어 대통령이 임명한다. 국회에서"
